epoch;W;Y;E
0;"(0.175309; -0.027950; 0.263552; 0.043251; 0.116928)";"(0.500000; 0.509374; 0.518562; 0.508347; 0.518069; 0.554323; 0.551960; 0.602284; 0.550640; 0.563842; 0.524520; 0.518513; 0.503276; 0.544801; 0.551869; 0.605852)";3.76636181337
1;"(0.256158; -0.090144; 0.459144; 0.039696; 0.179513)";"(0.543715; 0.580834; 0.570315; 0.585847; 0.620496; 0.673259; 0.650189; 0.709040; 0.572095; 0.604352; 0.548104; 0.560881; 0.576673; 0.630556; 0.615566; 0.676608)";3.21409137637
2;"(0.291852; -0.166134; 0.618248; 0.016567; 0.216516)";"(0.563692; 0.614878; 0.587928; 0.616996; 0.681196; 0.737853; 0.701690; 0.761477; 0.568982; 0.612115; 0.540566; 0.564742; 0.615334; 0.674525; 0.643358; 0.708186)";2.92309562569
3;"(0.306317; -0.246436; 0.756675; -0.013966; 0.241395)";"(0.572450; 0.631757; 0.590374; 0.627631; 0.721210; 0.777720; 0.732433; 0.791509; 0.554899; 0.605498; 0.519332; 0.551684; 0.637485; 0.699667; 0.655371; 0.723306)";2.71334316408
4;"(0.311078; -0.326335; 0.881840; -0.046281; 0.260421)";"(0.575986; 0.640786; 0.586187; 0.629275; 0.750663; 0.805698; 0.753567; 0.811561; 0.536072; 0.592537; 0.492603; 0.531607; 0.651943; 0.716255; 0.660522; 0.731364)";2.53883787587
5;"(0.311882; -0.403473; 0.997372; -0.077735; 0.276653)";"(0.577148; 0.646218; 0.579329; 0.627146; 0.774158; 0.827280; 0.769938; 0.826766; 0.515666; 0.577153; 0.464581; 0.509377; 0.662832; 0.728890; 0.662913; 0.736529)";2.3869280634
6;"(0.311550; -0.476812; 1.105174; -0.107197; 0.291584)";"(0.577345; 0.650099; 0.571743; 0.623751; 0.793895; 0.844988; 0.783764; 0.839408; 0.495354; 0.561371; 0.437437; 0.487424; 0.672077; 0.739668; 0.664447; 0.740697)";2.25316268901
7;"(0.311380; -0.546061; 1.206352; -0.134320; 0.305912)";"(0.577264; 0.653414; 0.564353; 0.620278; 0.810985; 0.860058; 0.796072; 0.850526; 0.475973; 0.546193; 0.412170; 0.466854; 0.680543; 0.749513; 0.665950; 0.744682)";2.13503722816
8;"(0.311892; -0.611318; 1.301646; -0.159143; 0.319939)";"(0.577222; 0.656615; 0.557553; 0.617241; 0.826034; 0.873144; 0.807330; 0.860591; 0.457872; 0.532055; 0.389116; 0.448059; 0.688584; 0.758803; 0.667723; 0.748783)";2.03050893317
9;"(0.313232; -0.672860; 1.391620; -0.181864; 0.333776)";"(0.577347; 0.659883; 0.551465; 0.614812; 0.839407; 0.884629; 0.817750; 0.869819; 0.441138; 0.519081; 0.368264; 0.431068; 0.696326; 0.767674; 0.669826; 0.753065)";1.937732162
10;"(0.315380; -0.731027; 1.476752; -0.202734; 0.347453)";"(0.577674; 0.663274; 0.546079; 0.613005; 0.851354; 0.894771; 0.827435; 0.878317; 0.425725; 0.507247; 0.349447; 0.415749; 0.703796; 0.776161; 0.672221; 0.757497)";1.85505477751
11;"(0.318252; -0.786157; 1.557460; -0.222000; 0.360964)";"(0.578198; 0.666788; 0.541335; 0.611765; 0.862064; 0.903759; 0.836445; 0.886148; 0.411530; 0.496460; 0.332446; 0.401915; 0.710991; 0.784268; 0.674837; 0.762020)";1.78103594717
12;"(0.321747; -0.838564; 1.634125; -0.239886; 0.374294)";"(0.578898; 0.670404; 0.537156; 0.611015; 0.871695; 0.911750; 0.844824; 0.893363; 0.398432; 0.486609; 0.317038; 0.389374; 0.717900; 0.791991; 0.677604; 0.766573)";1.71444403541
13;"(0.325767; -0.888528; 1.707090; -0.256585; 0.387428)";"(0.579750; 0.674093; 0.533464; 0.610680; 0.880377; 0.918871; 0.852613; 0.900004; 0.386314; 0.477583; 0.303018; 0.377950; 0.724518; 0.799332; 0.680461; 0.771107)";1.65423871194
14;"(0.330227; -0.936291; 1.776666; -0.272261; 0.400354)";"(0.580729; 0.677831; 0.530192; 0.610689; 0.888225; 0.925235; 0.859852; 0.906117; 0.375068; 0.469280; 0.290206; 0.367490; 0.730843; 0.806295; 0.683358; 0.775582)";1.59954627259
15;"(0.335050; -0.982066; 1.843134; -0.287053; 0.413065)";"(0.581815; 0.681594; 0.527278; 0.610984; 0.895337; 0.930937; 0.866580; 0.911742; 0.364597; 0.461611; 0.278448; 0.357863; 0.736879; 0.812894; 0.686260; 0.779970)";1.54963412
16;"(0.340174; -1.026033; 1.906749; -0.301076; 0.425554)";"(0.582988; 0.685363; 0.524672; 0.611513; 0.901800; 0.936059; 0.872837; 0.916922; 0.354819; 0.454500; 0.267615; 0.348959; 0.742636; 0.819143; 0.689138; 0.784250)";1.50388731658
17;"(0.345545; -1.068351; 1.967739; -0.314430; 0.437820)";"(0.584233; 0.689124; 0.522329; 0.612235; 0.907688; 0.940672; 0.878659; 0.921693; 0.345660; 0.447880; 0.257594; 0.340687; 0.748125; 0.825059; 0.691973; 0.788412)";1.46178827335
18;"(0.351117; -1.109155; 2.026309; -0.327196; 0.449864)";"(0.585537; 0.692863; 0.520214; 0.613114; 0.913065; 0.944838; 0.884081; 0.926093; 0.337059; 0.441697; 0.248292; 0.332969; 0.753358; 0.830662; 0.694752; 0.792446)";1.42289970129
19;"(0.356852; -1.148564; 2.082645; -0.339445; 0.461687)";"(0.586889; 0.696573; 0.518294; 0.614122; 0.917989; 0.948611; 0.889137; 0.930155; 0.328960; 0.435901; 0.239629; 0.325740; 0.758350; 0.835970; 0.697464; 0.796350)";1.38685054388
20;"(0.362716; -1.186683; 2.136913; -0.351237; 0.473294)";"(0.588278; 0.700243; 0.516544; 0.615234; 0.922508; 0.952035; 0.893855; 0.933909; 0.321316; 0.430453; 0.231535; 0.318944; 0.763115; 0.841001; 0.700103; 0.800121)";1.35332447198
21;"(0.368681; -1.223603; 2.189265; -0.362623; 0.484687)";"(0.589698; 0.703869; 0.514940; 0.616429; 0.926665; 0.955151; 0.898264; 0.937382; 0.314087; 0.425317; 0.223953; 0.312534; 0.767666; 0.845775; 0.702667; 0.803762)";1.32205051152
22;"(0.374722; -1.259405; 2.239836; -0.373648; 0.495872)";"(0.591140; 0.707446; 0.513464; 0.617690; 0.930498; 0.957992; 0.902388; 0.940600; 0.307235; 0.420462; 0.216830; 0.306471; 0.772016; 0.850306; 0.705153; 0.807275)";1.29279541522
23;"(0.380819; -1.294162; 2.288749; -0.384348; 0.506854)";"(0.592599; 0.710970; 0.512097; 0.619003; 0.934039; 0.960590; 0.906252; 0.943586; 0.300729; 0.415863; 0.210125; 0.300720; 0.776179; 0.854613; 0.707562; 0.810662)";1.26535744742
24;"(0.386953; -1.327937; 2.336115; -0.394758; 0.517639)";"(0.594071; 0.714439; 0.510827; 0.620356; 0.937318; 0.962970; 0.909876; 0.946360; 0.294540; 0.411495; 0.203797; 0.295250; 0.780166; 0.858709; 0.709892; 0.813929)";1.23956130842
