experiment;value;error;weights
M;500.0;0.052042530249;0.000000000000, -0.400453421384, -0.132213146818, 0.383989630942, 1.073880782500
M;1000.0;0.048800916663;0.000000000000, -0.301192125991, -0.232031248830, 0.298629382488, 1.166457910224
M;2000.0;0.043315245790;0.000000000000, -0.132375614149, -0.401792999158, 0.153451376780, 1.323908186414
M;3000.0;0.038938031257;0.000000000000, 0.003360066045, -0.538286414917, 0.036717611498, 1.450507178743
M;4000.0;0.035448379472;0.000000000000, 0.112497150053, -0.648030473036, -0.057145602235, 1.552300239639
eta;0.1;0.050614346673;0.000000000000, -0.432315348874, -0.115009179156, 0.401033342002, 1.052295794251
eta;0.3;0.045505334512;0.000000000000, -0.271855689155, -0.271428248396, 0.266896527474, 1.199354627699
eta;0.5;0.041648011094;0.000000000000, -0.135107756024, -0.405061266972, 0.152129261403, 1.324769110773
eta;0.7;0.038705656068;0.000000000000, -0.020934713016, -0.516914007437, 0.055910087237, 1.429587883764
eta;1.0;0.035448379472;0.000000000000, 0.112497150053, -0.648030473036, -0.057145602235, 1.552300239639
p;2.0;0.026649086942;0.000000000000, -0.996496994600, 1.960962338203
p;3.0;0.035337706160;0.000000000000, -0.404348396781, -0.212062915792, 1.569699529077
p;4.0;0.035448379472;0.000000000000, 0.112497150053, -0.648030473036, -0.057145602235, 1.552300239639
p;5.0;0.035878565911;0.000000000000, 0.338426051248, -0.519966736799, -0.492272156425, 0.218413400797, 1.426654977159
p;6.0;0.043319120523;0.000000000000, 0.349953149984, -0.325383398055, -0.466858980003, -0.190016062484, 0.399275081715, 1.204816373640
p;7.0;0.054708088362;0.000000000000, 0.308546235061, -0.197166074294, -0.368077007953, -0.273091468228, 0.024449193940, 0.466767178980, 1.001648238694
p;8.0;0.067426963468;0.000000000000, 0.268608584762, -0.120312392053, -0.284406686130, -0.267856781006, -0.111398652673, 0.147678230413, 0.475530907341, 0.841762924738
